rank,id,title,url,user_id,stocks_count,likes_count,comments_count,page_views_count,created_at,tags
1,47a13155032f716a43bd,【Claude Code / Codex × GAS】コピペ脱出！Google Workspace自動化レシピ7選,https://qiita.com/TMiyamoto/items/47a13155032f716a43bd,TMiyamoto,19,25,0,,2026-05-27T13:17:37+09:00,"GoogleAppsScript,自動化,codex,生成AI,ClaudeCode"
2,b1d961ce5fab8541101f,ドキュメントが失われた AWS 環境を 1 日で再現 + 再構築手順書まで生成 ─ Claude Opus 4.7「infra delegate to」の威力,https://qiita.com/ntaka329/items/b1d961ce5fab8541101f,ntaka329,13,16,0,,2026-05-21T12:16:17+09:00,"AWS,CloudFormation,マルチアカウント,生成AI,ClaudeCode"
3,a8274aef2a4c882197d6,Claude Codeのスキルが毎日勝手に改善されていく仕組みを作った,https://qiita.com/hiropon122/items/a8274aef2a4c882197d6,hiropon122,13,14,0,,2026-05-24T07:33:34+09:00,"automation,AI,ClaudeCode,AgentSkills"
4,dc26f7468dcd39fbe62f,15万スター超のCLAUDE.mdに学ぶ、Claude Codeを暴走させない運用術,https://qiita.com/4q_sano/items/dc26f7468dcd39fbe62f,4q_sano,12,10,0,,2026-05-26T22:39:19+09:00,ClaudeCode
5,af5d5264d9d3045568a4,Claude CodeによるIaCコード生成の標準化　案件横断で使い回せる仕組みづくりを始めてみた話,https://qiita.com/ike_s_muramatsu/items/af5d5264d9d3045568a4,ike_s_muramatsu,10,9,0,,2026-05-23T13:24:40+09:00,"AWS,CloudFormation,インフラ,IaC,ClaudeCode"
6,776340b97f0ca63292a8,Claude Code時代の音声入力アプリ4選｜Mac標準を諦めてAqua Voiceに落ち着くまで,https://qiita.com/kazuki_ogawa/items/776340b97f0ca63292a8,kazuki_ogawa,9,21,0,,2026-05-21T20:17:22+09:00,"効率化,AI,音声認識,ClaudeCode"
7,aff2e56e4248cee1114e,【AI駆動開発】迷ったらこれ！OpenSpecチートシート【仕様駆動開発】,https://qiita.com/Nana_777/items/aff2e56e4248cee1114e,Nana_777,6,16,0,,2026-05-26T22:07:48+09:00,"AI,AI駆動開発,ClaudeCode,仕様駆動開発,Openspec"
8,cad6d18c080aa6ca812c,【kaggle】Claude CodeだけでKaggleコンペに挑んで惨敗した話,https://qiita.com/ktdatascience/items/cad6d18c080aa6ca812c,ktdatascience,5,3,0,,2026-05-23T12:42:54+09:00,"初心者,機械学習,Kaggle,MLOps,ClaudeCode"
9,cd1ab7d541cc3047ae70,AIへの依頼で毎回手戻りに疲れたので、指示書の作成自体をAIに任せた話,https://qiita.com/hirashima-gmoconnect/items/cd1ab7d541cc3047ae70,hirashima-gmoconnect,4,8,0,,2026-05-26T11:43:45+09:00,"業務効率化,生成AI,プロンプトエンジニアリング,AIエージェント,ClaudeCode"
10,4c4bfc492d91770618b8,記事から ”AIっぽさ” をなくす Skills を作成した - Claude Code プラグイン『16-minds』,https://qiita.com/yukurash/items/4c4bfc492d91770618b8,yukurash,3,7,0,,2026-05-21T17:37:35+09:00,"Plugin,AI,生成AI,Claude,ClaudeCode"
11,3e35c460e3b18606f1f3,Bedrock Tool Use から Aurora pgvector を直接叩く — Knowledge Bases を使わない RAG の組み立て,https://qiita.com/asahide/items/3e35c460e3b18606f1f3,asahide,3,5,0,,2026-05-24T19:45:04+09:00,"Aurora,rag,bedrock,pgvector,Claude"
12,410d83f31e8d8b606ba9,あの手この手を試してもダメで、結局「読ませる形式」が問題だった話――CSVをYAMLに変えたら処理時間60%・使用量70%削減できた,https://qiita.com/inaba-yoshiko/items/410d83f31e8d8b606ba9,inaba-yoshiko,3,3,0,,2026-05-26T12:34:26+09:00,"YAML,AI,LLM,ClaudeCode,トークン最適化"
13,53986a41bfd50eee264e,AIのハルシネーションを見破る『セカンドオピニオン』調査術：Claude CodeとGitHub Copilotの比較検証フロー,https://qiita.com/oguri-gmoconnect/items/53986a41bfd50eee264e,oguri-gmoconnect,3,3,0,,2026-05-26T11:36:37+09:00,"AI,生産性向上,GitHubCopilot,LLM,ClaudeCode"
14,058b66f03c81e41414d4,AIが書いたコードを鵜呑みにしない — レビュー観点7つのチェックリスト,https://qiita.com/ennagara128/items/058b66f03c81e41414d4,ennagara128,3,3,0,,2026-05-22T14:08:00+09:00,"プログラミング,TypeScript,AI,コードレビュー,ClaudeCode"
15,b60881f953dfa8c16d20,Claude Code の Hooks を使ったら「確認待ち」が消えて開発速度が 2 倍になった話,https://qiita.com/LemonCake/items/b60881f953dfa8c16d20,LemonCake,3,3,0,,2026-05-21T15:56:13+09:00,"TypeScript,自動化,hooks,生産性,ClaudeCode"
